"id","domain","online_date","active","created_at","updated_at","clients_id"
1,"jacobs.com","1990-10-10",1,"2015-01-29 03:32:22",NULL,9
2,"douglas.com","1979-03-24",0,"2015-01-29 03:32:22",NULL,4
3,"jacobslabadie.com","1972-08-27",0,"2015-01-29 03:32:22",NULL,4
4,"fritsch.com","1992-07-17",0,"2015-01-29 03:32:22",NULL,10
5,"halvorson.info","1983-11-06",0,"2015-01-29 03:32:22",NULL,2
6,"eichmann.com","1981-07-28",0,"2015-01-29 03:32:22",NULL,7
7,"considine.biz","1996-11-17",1,"2015-01-29 03:32:22",NULL,5
8,"bailey.com","1992-07-13",0,"2015-01-29 03:32:22",NULL,4
9,"konopelski.com","1990-04-22",0,"2015-01-29 03:32:22",NULL,3
10,"hansenvon.net","1982-03-18",0,"2015-01-29 03:32:22",NULL,1
11,"fritsch.org","1976-02-05",0,"2015-01-29 03:32:22",NULL,2
12,"casper.com","2014-06-17",1,"2015-01-29 03:32:22",NULL,2
13,"veum.com","1997-07-27",0,"2015-01-29 03:32:22",NULL,7
14,"gerlach.com","2009-09-25",0,"2015-01-29 03:32:22",NULL,8
15,"walkerwaelchi.com","2013-04-07",0,"2015-01-29 03:32:22",NULL,2
16,"bruen.com","2009-09-16",0,"2015-01-29 03:32:22",NULL,3
17,"mitchell.biz","1974-11-20",1,"2015-01-29 03:32:22",NULL,2
18,"cormierbuckridge.com","1995-04-13",1,"2015-01-29 03:32:22",NULL,9
19,"quigley.com","1973-03-22",1,"2015-01-29 03:32:22",NULL,6
20,"mertz.com","1983-11-27",0,"2015-01-29 03:32:22",NULL,9
21,"lebsack.info","2014-04-26",1,"2015-01-29 03:32:22",NULL,2
22,"hackett.com","2013-12-21",1,"2015-01-29 03:32:22",NULL,5
23,"schiller.biz","2004-05-18",1,"2015-01-29 03:32:22",NULL,8
24,"prosacco.net","1972-07-12",0,"2015-01-29 03:32:22",NULL,2
25,"lang.info","1991-08-09",0,"2015-01-29 03:32:22",NULL,9
26,"brekke.com","1998-02-17",1,"2015-01-29 03:32:22",NULL,6
27,"mohr.biz","1972-10-30",0,"2015-01-29 03:32:22",NULL,1
28,"runtejast.com","2012-03-09",1,"2015-01-29 03:32:22",NULL,4
29,"legros.com","2011-11-25",1,"2015-01-29 03:32:22",NULL,10
30,"mante.com","2010-07-07",1,"2015-01-29 03:32:22",NULL,8
31,"deckow.com","1994-03-09",0,"2015-01-29 03:32:22",NULL,10
32,"walsh.com","2002-09-18",1,"2015-01-29 03:32:22",NULL,6
33,"jones.com","2003-09-30",0,"2015-01-29 03:32:22",NULL,5
34,"hickle.com","1989-12-16",0,"2015-01-29 03:32:22",NULL,4
35,"prosacco.biz","1975-08-26",1,"2015-01-29 03:32:22",NULL,5
36,"johnszieme.com","2002-01-23",1,"2015-01-29 03:32:22",NULL,9
37,"swaniawski.net","1972-09-04",1,"2015-01-29 03:32:22",NULL,4
38,"haagbayer.org","2009-12-11",0,"2015-01-29 03:32:22",NULL,1
39,"pfannerstill.org","2001-02-19",1,"2015-01-29 03:32:22",NULL,3
40,"starkdoyle.com","1974-10-04",0,"2015-01-29 03:32:22",NULL,9
41,"morissettesimonis.net","2014-01-09",0,"2015-01-29 03:32:22",NULL,8
42,"schneiderledner.net","1993-08-15",0,"2015-01-29 03:32:22",NULL,8
43,"ruecker.com","2001-08-05",1,"2015-01-29 03:32:22",NULL,4
44,"hettingerlueilwitz.com","1982-06-07",0,"2015-01-29 03:32:22",NULL,3
45,"emmerich.info","1983-07-03",0,"2015-01-29 03:32:22",NULL,8
46,"pfannerstill.info","1980-01-08",1,"2015-01-29 03:32:22",NULL,8
47,"batzfeil.biz","1983-11-16",0,"2015-01-29 03:32:22",NULL,3
48,"rutherford.com","1975-02-16",0,"2015-01-29 03:32:22",NULL,3
49,"maggio.info","1972-12-14",1,"2015-01-29 03:32:22",NULL,7
50,"roweklocko.org","2013-09-25",0,"2015-01-29 03:32:22",NULL,1
51,"schaefer.biz","1988-07-12",1,"2015-01-29 03:32:22",NULL,6
52,"schaefer.net","1973-03-24",1,"2015-01-29 03:32:22",NULL,8
53,"mcclure.com","1974-06-29",1,"2015-01-29 03:32:22",NULL,3
54,"parisianhermiston.biz","2012-03-07",1,"2015-01-29 03:32:22",NULL,5
55,"hudsonkoss.com","1976-09-11",0,"2015-01-29 03:32:22",NULL,4
56,"moenswift.org","1971-12-27",0,"2015-01-29 03:32:22",NULL,3
57,"will.com","1988-12-27",1,"2015-01-29 03:32:22",NULL,2
58,"klocko.biz","1991-05-29",0,"2015-01-29 03:32:22",NULL,7
59,"swift.info","2001-12-30",0,"2015-01-29 03:32:22",NULL,4
60,"littel.info","2009-06-14",0,"2015-01-29 03:32:22",NULL,1
61,"walsh.net","1979-10-04",1,"2015-01-29 03:32:22",NULL,5
62,"mills.com","2009-09-18",1,"2015-01-29 03:32:22",NULL,6
63,"blockmurphy.com","1989-12-12",0,"2015-01-29 03:32:22",NULL,7
64,"collier.com","1988-03-21",1,"2015-01-29 03:32:22",NULL,6
65,"wolf.com","2001-09-25",0,"2015-01-29 03:32:22",NULL,9
66,"koch.com","1999-01-23",0,"2015-01-29 03:32:22",NULL,5
67,"harber.com","1990-07-24",0,"2015-01-29 03:32:22",NULL,10
68,"dachweissnat.biz","1986-03-19",1,"2015-01-29 03:32:22",NULL,6
69,"hudson.com","1973-07-07",1,"2015-01-29 03:32:22",NULL,1
70,"bashiriandaniel.info","1974-07-07",0,"2015-01-29 03:32:22",NULL,8
71,"stroman.com","1975-12-10",0,"2015-01-29 03:32:22",NULL,2
72,"okon.com","2012-10-13",1,"2015-01-29 03:32:22",NULL,9
73,"gulgowskifeest.com","1979-11-30",0,"2015-01-29 03:32:22",NULL,3
74,"lebsack.com","1987-06-12",0,"2015-01-29 03:32:22",NULL,5
75,"bayer.biz","2004-05-29",1,"2015-01-29 03:32:22",NULL,6
76,"abbott.com","2000-12-23",0,"2015-01-29 03:32:22",NULL,4
77,"schultz.com","2011-12-08",0,"2015-01-29 03:32:22",NULL,5
78,"lubowitzpagac.com","1973-05-09",1,"2015-01-29 03:32:22",NULL,5
79,"purdymann.com","2005-04-27",1,"2015-01-29 03:32:22",NULL,3
80,"fadel.biz","2013-09-29",1,"2015-01-29 03:32:22",NULL,1
81,"brekkebashirian.org","1986-01-10",1,"2015-01-29 03:32:22",NULL,6
82,"willmsebert.info","1986-05-13",0,"2015-01-29 03:32:22",NULL,1
83,"corwin.com","2002-05-22",0,"2015-01-29 03:32:22",NULL,6
84,"bauch.com","1970-06-01",0,"2015-01-29 03:32:22",NULL,10
85,"price.com","1973-03-20",0,"2015-01-29 03:32:22",NULL,5
86,"bashiriankozey.com","1980-04-14",0,"2015-01-29 03:32:22",NULL,3
87,"kerluke.biz","1982-09-14",0,"2015-01-29 03:32:22",NULL,8
88,"kilbackschiller.com","1985-03-25",1,"2015-01-29 03:32:22",NULL,10
89,"hahn.com","2007-02-09",0,"2015-01-29 03:32:22",NULL,6
90,"nikolaus.org","1974-05-12",0,"2015-01-29 03:32:22",NULL,9
91,"purdyweber.biz","1978-11-05",0,"2015-01-29 03:32:22",NULL,8
92,"colliermoore.com","1984-05-20",0,"2015-01-29 03:32:22",NULL,5
93,"morar.com","1974-10-22",1,"2015-01-29 03:32:22",NULL,8
94,"zboncak.org","2008-01-15",0,"2015-01-29 03:32:22",NULL,3
95,"breitenberg.net","1987-08-26",0,"2015-01-29 03:32:22",NULL,2
96,"ryan.com","1979-04-05",0,"2015-01-29 03:32:22",NULL,1
97,"wolfmills.com","2001-02-20",1,"2015-01-29 03:32:22",NULL,8
98,"boyer.com","2001-07-06",1,"2015-01-29 03:32:22",NULL,5
99,"brakus.com","2010-03-07",1,"2015-01-29 03:32:22",NULL,7
100,"russel.com","1979-02-09",0,"2015-01-29 03:32:22",NULL,6
